date,time,appliedcurrent,voltage,Cl,TOC,A,B,C,D,activatedcarbon,tensilestrength,elongation,glossiness,Mside,Sside,Curl
06월 19일,5,1.3,4.03,,,358,"1,090","1,272",375,1.2,35.2,7.3,240,1.18,0.28,1
06월 19일,8,1.3,4.06,11.6,191,358,"1,090","1,272",375,1.2,33.7,9.4,185,1.17,0.21,5
06월 19일,11,1.3,4.1,,,358,"1,090","1,272",375,1.2,35,11.3,181,1.19,0.2,4
06월 19일,14,1.3,4.13,12.8,205,358,"1,090","1,272",375,1.2,35.4,11,163,1.28,0.21,3
06월 19일,17,1.3,4.35,,,358,"1,090","1,272",375,1.2,35.8,9.6,235,1.09,0.23,3
06월 19일,20,1.3,4.13,,,358,"1,090","1,272",375,1.2,35.7,10.5,212,1.18,0.23,2
06월 19일,23,1.3,4.14,12.8,206,358,"1,090","1,272",375,1.2,35.5,9.1,185,1.05,0.23,3
06월 20일,2,1.3,4.14,,,358,"1,090","1,272",375,1.2,34.4,7.2,175,1.37,0.23,2
06월 20일,5,1.3,4.16,,,358,"1,090","1,272",375,1.2,34.9,7.6,155,1.27,0.22,4
06월 20일,8,1.3,4.17,16.5,213,358,"1,090","1,272",375,1.2,,,181,,,
06월 20일,11,1.3,4.15,,,358,"1,090","1,272",375,1.2,,,222,,,
06월 20일,14,1.3,4.15,16.4,219,358,945,"1,272",375,1.2,,,210,,,
06월 20일,17,1.3,4.17,,,358,945,"1,272",375,1.2,33.7,12.7,188,1.16,0.24,1
06월 20일,20,1.3,4.18,,,358,945,"1,272",375,1.2,34.4,12,174,1.28,0.23,1
06월 20일,23,1.3,4.18,22.1,225,358,945,"1,272",375,1.2,35,12,151,1.28,0.23,0
06월 21일,2,1.3,4.21,,,358,945,"1,272",375,1.2,34.4,9.6,152,1.7,0.3,1
06월 21일,5,1.3,4.2,,,358,945,"1,272",375,1.2,34.1,9.5,196,1.2,0.2,0
06월 21일,8,1.3,4.2,19.5,224,358,945,"1,272",375,1.2,33,9.4,201,1.2,0.3,5
06월 21일,11,1.49,4.58,,,341,901,"1,212",325,2.62,35,12.1,183,1.2,0.3,3
06월 21일,14,1.49,4.58,16.3,245,341,901,"1,212",325,2.62,34.7,10.9,135,1.3,0.2,3
06월 21일,17,1.49,4.51,,,341,901,"1,212",325,2.62,34.7,11,159,1.3,0.3,3
06월 21일,20,1.49,4.61,,,341,901,"1,212",325,2.62,,,,,,
06월 21일,23,1.49,4.56,17,234,341,901,"1,212",325,2.62,34,9.9,235,1.08,0.23,4
06월 22일,2,1.49,4.61,,,341,901,"1,212",325,2.62,34.8,9.9,215,1.03,0.23,1
06월 22일,5,1.49,4.57,,,341,901,"1,212",325,2.62,34.5,10.5,182,1.02,0.24,4
06월 22일,8,1.49,4.54,18.7,243,341,901,"1,212",325,2.62,33.2,9,193,1.18,0.22,4
06월 22일,11,1.49,4.52,,,341,901,"1,212",325,2.62,34.8,10,185,1.69,0.24,2
06월 22일,14,1.49,4.5,19.6,243,341,901,"1,212",325,2.62,34.8,10.5,180,1.28,0.23,1
06월 22일,17,1.49,4.58,,,341,901,"1,212",325,2.62,34.7,12.7,288,1.03,0.25,2
06월 22일,20,1.49,4.64,,,341,901,"1,212",325,2.62,34.9,13.4,268,1.1,0.24,2
06월 22일,23,1.49,4.63,23.1,247,341,901,"1,212",325,2.62,34.2,11.7,293,1.02,0.24,3
06월 23일,2,1.49,4.58,,,341,901,"1,212",325,2.62,34.4,10.6,267,1.07,0.22,3
06월 23일,5,1.49,4.59,,,341,901,"1,212",325,2.62,33.7,14.1,259,1.05,0.22,1
06월 23일,8,1.49,4.56,21.5,254,341,901,"1,212",325,2.62,32.2,11.8,240,1.02,0.33,7
06월 23일,11,1.49,4.5,,,341,901,"1,212",325,2.62,33.4,13.3,194,1.42,0.26,1
06월 23일,14,1.49,4.5,,,341,901,"1,212",325,2.62,33.8,15.4,202,1.27,0.21,0
06월 23일,17,1.49,4.5,,,341,901,"1,212",325,2.62,32.6,12.4,225,1.25,0.24,0
06월 23일,20,1.3,4.18,,,358,"1,090","1,272",375,2.62,32.7,11,330,0.85,0.23,1
06월 23일,23,1.3,4.21,22.2,288,358,"1,090","1,272",375,2.62,33.4,12.4,330,0.86,0.22,2
06월 24일,2,1.3,4.24,,,358,"1,090","1,272",375,2.62,33.4,12.2,330,0.84,0.24,3
06월 24일,5,1.3,4.25,,,358,"1,090","1,272",375,2.62,33.3,12.6,308,0.88,0.23,0
06월 24일,8,1.3,4.21,20.9,282,358,"1,090","1,272",375,2.52,31.9,10.2,204,1.17,0.25,0
06월 24일,11,1.3,4.23,,,430,"1,308","1,399",375,2.87,34.2,14.9,227,1.15,0.24,13
06월 24일,14,1.3,4.18,23.5,280,430,"1,308","1,399",375,2.87,34,14.8,198,1.3,0.25,5
06월 24일,17,1.3,4.22,,,430,"1,308","1,399",375,2.87,31.7,10.8,230,0.99,0.2,0
06월 24일,20,1.3,4.27,,,501,"1,308","1,399",375,3,33.5,12.3,272,0.94,0.21,2
06월 24일,23,1.3,4.3,27.2,291,501,"1,308","1,399",375,3,31.6,11.6,214,0.91,0.22,5
06월 25일,2,1.3,4.31,,,501,"1,308","1,399",375,3,32,11.5,388,0.75,0.23,4
06월 25일,5,1.3,4.31,,,601,"1,308","1,399",375,3,33.4,12.3,424,0.66,0.23,0
